PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
91,dev,".github/workflows/release.yml, README-ZH_CN.md, README.md, UPDATE_LOG.md, package.json, src-tauri/Cargo.toml, src-tauri/icons/tray-icon-light.png, src-tauri/src/app/menu.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2022-12-27T17:43:27Z,2022-12-27T17:44:23Z,lencx,fix: tray icon & windows can't start (#87 #85),,
86,menu-warn,src-tauri/src/app/menu.rs,2022-12-27T12:51:20Z,2022-12-27T13:15:28Z,xueweiwujxw,🐞 fix(src-tauri/src/app/menu.rs): fix warning on linux,"add `#[cfg(target_os = ""macos"")]` when declare titlebar and titlebar_menu",
84,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/app/cmd.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/cmd.js, src-tauri/src/assets/core.js, src-tauri/src/assets/export.js, src-tauri/tauri.conf.json",2022-12-27T07:31:47Z,2022-12-27T07:31:56Z,lencx,feat: use the keyboard to select the slash command,,
81,patch-1,src-tauri/Cargo.toml,2022-12-27T03:36:40Z,2022-12-27T04:17:58Z,beilunyang,fix(build): mac m1 chip copy/paste,Hi guy! This pr fixes the bug that the mac m1 chip computer cannot use the paste shortcut key,
79,patch-1,casks/chatgpt.rb,2022-12-25T23:29:55Z,2022-12-26T02:19:28Z,weltonrodrigo,bump homebrew cask to 0.6.10,,
78,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json, src/utils.ts",2022-12-25T01:22:10Z,2022-12-25T01:22:15Z,lencx,fix: windows sync,,
77,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json, src/utils.ts",2022-12-24T18:27:53Z,2022-12-24T18:27:58Z,lencx,v0.6.9,,
73,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json",2022-12-24T14:56:20Z,2022-12-24T14:56:31Z,lencx,v0.6.8,,
72,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json",2022-12-24T13:51:13Z,2022-12-24T13:51:21Z,lencx,v0.6.7,,
71,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/app/cmd.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/tauri.conf.json, src/main.scss",2022-12-24T13:20:33Z,2022-12-24T13:20:41Z,lencx,fix: unable to synchronize,,
